"Status","PackageID","CurrentVersion","LatestVersion","Reason","Solution","Timestamp"
"Outdated","AsyncAPI.NET.Bindings","5.2.1","5.2.4","New version available","saunter","20250416_175816"
"Outdated","Microsoft.SourceLink.GitHub","1.1.1","8.0.0","New version available","saunter","20250416_175816"
"Outdated","Namotion.Reflection","3.1.1","3.3.0","New version available","saunter","20250416_175816"
"Outdated","Microsoft.Extensions.Diagnostics.Testing","8.6.0","9.4.0","New version available","saunter","20250416_175816"
"Outdated","Microsoft.NET.Test.Sdk","17.6.2","17.13.0","New version available","saunter","20250416_175816"
"Outdated","NSubstitute","5.0.0","5.3.0","New version available","saunter","20250416_175816"
"Outdated","Shouldly","4.2.1","4.3.0","New version available","saunter","20250416_175816"
"Outdated","xunit","2.4.2","2.9.3","New version available","saunter","20250416_175816"
"Outdated","xunit.runner.visualstudio","2.4.5","3.0.2","New version available","saunter","20250416_175816"
"Outdated","Microsoft.VisualStudio.Azure.Containers.Tools.Targets","1.20.1","1.21.2","New version available","saunter","20250416_175816"
